SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1049","532","1581","20241015"
"1","2","경주여행","여행","국내여행","경상북도","893","519","1412","20241015"
"2","3","제주여행","여행","국내여행","제주특별자치도","833","341","1174","20241015"
"3","4","군산여행","여행","국내여행","전라북도","727","258","985","20241015"
"4","5","여수여행","여행","국내여행","전라남도","668","275","943","20241015"
"5","6","강릉여행","여행","국내여행","강원도","544","265","809","20241015"
"6","7","전주여행","여행","국내여행","전라북도","516","270","786","20241015"
"7","8","속초여행","여행","국내여행","강원도","491","230","721","20241015"
"8","9","대구여행","여행","국내여행","대구광역시","379","182","561","20241015"
"9","10","대전여행","여행","국내여행","대전광역시","419","138","557","20241015"
