SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1800","769","2569","20240502"
"1","2","여수여행","여행","국내여행","전라남도","1400","544","1944","20240502"
"2","3","경주여행","여행","국내여행","경상북도","1194","516","1710","20240502"
"3","4","제주여행","여행","국내여행","제주특별자치도","1050","377","1427","20240502"
"4","5","군산여행","여행","국내여행","전라북도","1073","310","1383","20240502"
"5","6","강릉여행","여행","국내여행","강원도","862","372","1234","20240502"
"6","7","전주여행","여행","국내여행","전라북도","780","304","1084","20240502"
"7","8","속초여행","여행","국내여행","강원도","709","292","1001","20240502"
"8","9","대전여행","여행","국내여행","대전광역시","661","260","921","20240502"
"9","10","대구여행","여행","국내여행","대구광역시","652","251","903","20240502"
