SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1224","163","1387","20241019"
"1","2","군산여행","여행","국내여행","전라북도","985","107","1092","20241019"
"2","3","경주여행","여행","국내여행","경상북도","886","122","1008","20241019"
"3","4","제주여행","여행","국내여행","제주특별자치도","843","152","995","20241019"
"4","5","여수여행","여행","국내여행","전라남도","826","119","945","20241019"
"5","6","강릉여행","여행","국내여행","강원도","566","97","663","20241019"
"6","7","전주여행","여행","국내여행","전라북도","603","56","659","20241019"
"7","8","속초여행","여행","국내여행","강원도","515","80","595","20241019"
"8","9","목포여행","여행","국내여행","전라남도","516","54","570","20241019"
"9","10","대전여행","여행","국내여행","대전광역시","418","72","490","20241019"
