SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1278","222","1500","20250525"
"1","2","여수여행","여행","국내여행","전라남도","959","150","1109","20250525"
"2","3","제주여행","여행","국내여행","제주특별자치도","932","170","1102","20250525"
"3","4","경주여행","여행","국내여행","경상북도","874","148","1022","20250525"
"4","5","군산여행","여행","국내여행","전라북도","893","92","985","20250525"
"5","6","강릉여행","여행","국내여행","강원도","794","134","928","20250525"
"6","7","전주여행","여행","국내여행","전라북도","643","102","745","20250525"
"7","8","목포여행","여행","국내여행","전라남도","611","97","708","20250525"
"8","9","속초여행","여행","국내여행","강원도","529","100","629","20250525"
"9","10","대전여행","여행","국내여행","대전광역시","515","87","602","20250525"
