SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1529","697","2226","20250204"
"1","2","제주여행","여행","국내여행","제주특별자치도","1057","309","1366","20250204"
"2","3","경주여행","여행","국내여행","경상북도","836","478","1314","20250204"
"3","4","강릉여행","여행","국내여행","강원도","823","363","1186","20250204"
"4","5","여수여행","여행","국내여행","전라남도","688","322","1010","20250204"
"5","6","군산여행","여행","국내여행","전라북도","736","250","986","20250204"
"6","7","전주여행","여행","국내여행","전라북도","531","260","791","20250204"
"7","8","대전여행","여행","국내여행","대전광역시","497","238","735","20250204"
"8","9","속초여행","여행","국내여행","강원도","483","212","695","20250204"
"9","10","대구여행","여행","국내여행","대구광역시","471","190","661","20250204"
