SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1699","211","1910","20241225"
"1","2","제주여행","여행","국내여행","제주특별자치도","1013","145","1158","20241225"
"2","3","군산여행","여행","국내여행","전라북도","1005","121","1126","20241225"
"3","4","강릉여행","여행","국내여행","강원도","863","143","1006","20241225"
"4","5","여수여행","여행","국내여행","전라남도","881","112","993","20241225"
"5","6","경주여행","여행","국내여행","경상북도","815","119","934","20241225"
"6","7","속초여행","여행","국내여행","강원도","814","109","923","20241225"
"7","8","목포여행","여행","국내여행","전라남도","621","71","692","20241225"
"8","9","전주여행","여행","국내여행","전라북도","577","81","658","20241225"
"9","10","대전여행","여행","국내여행","대전광역시","555","62","617","20241225"
