SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1793","251","2044","20240518"
"1","2","여수여행","여행","국내여행","전라남도","1248","157","1405","20240518"
"2","3","경주여행","여행","국내여행","경상북도","1097","151","1248","20240518"
"3","4","군산여행","여행","국내여행","전라북도","1063","99","1162","20240518"
"4","5","제주여행","여행","국내여행","제주특별자치도","1007","141","1148","20240518"
"5","6","춘천여행","여행","국내여행","강원도","982","81","1063","20240518"
"6","7","강릉여행","여행","국내여행","강원도","805","151","956","20240518"
"7","8","전주여행","여행","국내여행","전라북도","772","83","855","20240518"
"8","9","속초여행","여행","국내여행","강원도","723","95","818","20240518"
"9","10","대구여행","여행","국내여행","대구광역시","690","68","758","20240518"
