SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","2049","284","2333","20250119"
"1","2","강릉여행","여행","국내여행","강원도","1139","202","1341","20250119"
"2","3","경주여행","여행","국내여행","경상북도","1166","155","1321","20250119"
"3","4","제주여행","여행","국내여행","제주특별자치도","1145","172","1317","20250119"
"4","5","군산여행","여행","국내여행","전라북도","1185","125","1310","20250119"
"5","6","여수여행","여행","국내여행","전라남도","898","135","1033","20250119"
"6","7","전주여행","여행","국내여행","전라북도","740","105","845","20250119"
"7","8","속초여행","여행","국내여행","강원도","728","108","836","20250119"
"8","9","대전여행","여행","국내여행","대전광역시","733","71","804","20250119"
"9","10","목포여행","여행","국내여행","전라남도","603","84","687","20250119"
