SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1511","158","1669","20240916"
"1","2","경주여행","여행","국내여행","경상북도","1279","166","1445","20240916"
"2","3","군산여행","여행","국내여행","전라북도","1205","63","1268","20240916"
"3","4","여수여행","여행","국내여행","전라남도","1142","102","1244","20240916"
"4","5","제주여행","여행","국내여행","제주특별자치도","816","108","924","20240916"
"5","6","강릉여행","여행","국내여행","강원도","812","107","919","20240916"
"6","7","속초여행","여행","국내여행","강원도","675","72","747","20240916"
"7","8","전주여행","여행","국내여행","전라북도","637","72","709","20240916"
"8","9","목포여행","여행","국내여행","전라남도","561","52","613","20240916"
"9","10","통영여행","여행","국내여행","경상남도","550","43","593","20240916"
