SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1898","320","2218","20240609"
"1","2","여수여행","여행","국내여행","전라남도","1404","154","1558","20240609"
"2","3","제주여행","여행","국내여행","제주특별자치도","1253","163","1416","20240609"
"3","4","경주여행","여행","국내여행","경상북도","1169","147","1316","20240609"
"4","5","군산여행","여행","국내여행","전라북도","1095","98","1193","20240609"
"5","6","강릉여행","여행","국내여행","강원도","952","144","1096","20240609"
"6","7","속초여행","여행","국내여행","강원도","883","137","1020","20240609"
"7","8","전주여행","여행","국내여행","전라북도","710","111","821","20240609"
"8","9","대전여행","여행","국내여행","대전광역시","609","84","693","20240609"
"9","10","통영여행","여행","국내여행","경상남도","600","86","686","20240609"
