SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1829","780","2609","20240719"
"1","2","여수여행","여행","국내여행","전라남도","1430","596","2026","20240719"
"2","3","제주여행","여행","국내여행","제주특별자치도","937","344","1281","20240719"
"3","4","경주여행","여행","국내여행","경상북도","827","442","1269","20240719"
"4","5","강릉여행","여행","국내여행","강원도","854","386","1240","20240719"
"5","6","속초여행","여행","국내여행","강원도","738","365","1103","20240719"
"6","7","남해여행","여행","국내여행","경상남도","726","350","1076","20240719"
"7","8","군산여행","여행","국내여행","전라북도","799","209","1008","20240719"
"8","9","대전여행","여행","국내여행","대전광역시","620","242","862","20240719"
"9","10","목포여행","여행","국내여행","전라남도","606","239","845","20240719"
