SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","2618","920","3538","20240731"
"1","2","여수여행","여행","국내여행","전라남도","1982","677","2659","20240731"
"2","3","군산여행","여행","국내여행","전라북도","1482","308","1790","20240731"
"3","4","속초여행","여행","국내여행","강원도","1205","524","1729","20240731"
"4","5","경주여행","여행","국내여행","경상북도","1250","464","1714","20240731"
"5","6","강릉여행","여행","국내여행","강원도","1126","463","1589","20240731"
"6","7","제주여행","여행","국내여행","제주특별자치도","1012","384","1396","20240731"
"7","8","남해여행","여행","국내여행","경상남도","885","371","1256","20240731"
"8","9","목포여행","여행","국내여행","전라남도","888","311","1199","20240731"
"9","10","전주여행","여행","국내여행","전라북도","812","279","1091","20240731"
