SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","860","478","1338","20250328"
"1","2","경주여행","여행","국내여행","경상북도","834","374","1208","20250328"
"2","3","제주여행","여행","국내여행","제주특별자치도","736","314","1050","20250328"
"3","4","군산여행","여행","국내여행","전라북도","736","219","955","20250328"
"4","5","목포여행","여행","국내여행","전라남도","532","238","770","20250328"
"5","6","강릉여행","여행","국내여행","강원도","498","264","762","20250328"
"6","7","여수여행","여행","국내여행","전라남도","498","199","697","20250328"
"7","8","전주여행","여행","국내여행","전라북도","479","208","687","20250328"
"8","9","속초여행","여행","국내여행","강원도","430","138","568","20250328"
"9","10","대전여행","여행","국내여행","대전광역시","381","152","533","20250328"
