SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","2159","269","2428","20250126"
"1","2","군산여행","여행","국내여행","전라북도","1314","113","1427","20250126"
"2","3","경주여행","여행","국내여행","경상북도","1185","133","1318","20250126"
"3","4","강릉여행","여행","국내여행","강원도","1038","147","1185","20250126"
"4","5","여수여행","여행","국내여행","전라남도","971","120","1091","20250126"
"5","6","제주여행","여행","국내여행","제주특별자치도","903","162","1065","20250126"
"6","7","전주여행","여행","국내여행","전라북도","771","96","867","20250126"
"7","8","속초여행","여행","국내여행","강원도","766","101","867","20250126"
"8","9","대구여행","여행","국내여행","대구광역시","730","79","809","20250126"
"9","10","목포여행","여행","국내여행","전라남도","624","69","693","20250126"
