SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1062","456","1518","20241030"
"1","2","경주여행","여행","국내여행","경상북도","895","527","1422","20241030"
"2","3","제주여행","여행","국내여행","제주특별자치도","779","363","1142","20241030"
"3","4","군산여행","여행","국내여행","전라북도","765","304","1069","20241030"
"4","5","여수여행","여행","국내여행","전라남도","617","281","898","20241030"
"5","6","강릉여행","여행","국내여행","강원도","554","256","810","20241030"
"6","7","전주여행","여행","국내여행","전라북도","573","221","794","20241030"
"7","8","속초여행","여행","국내여행","강원도","474","237","711","20241030"
"8","9","대구여행","여행","국내여행","대구광역시","449","206","655","20241030"
"9","10","대전여행","여행","국내여행","대전광역시","417","156","573","20241030"
