SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1366","736","2102","20250708"
"1","2","제주여행","여행","국내여행","제주특별자치도","760","668","1428","20250708"
"2","3","강릉여행","여행","국내여행","강원도","799","547","1346","20250708"
"3","4","여수여행","여행","국내여행","전라남도","752","434","1186","20250708"
"4","5","속초여행","여행","국내여행","강원도","669","445","1114","20250708"
"5","6","경주여행","여행","국내여행","경상북도","607","393","1000","20250708"
"6","7","군산여행","여행","국내여행","전라북도","581","297","878","20250708"
"7","8","대전여행","여행","국내여행","대전광역시","497","303","800","20250708"
"8","9","목포여행","여행","국내여행","전라남도","432","338","770","20250708"
"9","10","남해여행","여행","국내여행","경상남도","442","296","738","20250708"
