SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1156","484","1640","20241108"
"1","2","속초여행","여행","국내여행","강원도","1035","285","1320","20241108"
"2","3","경주여행","여행","국내여행","경상북도","870","301","1171","20241108"
"3","4","군산여행","여행","국내여행","전라북도","839","273","1112","20241108"
"4","5","제주여행","여행","국내여행","제주특별자치도","733","333","1066","20241108"
"5","6","여수여행","여행","국내여행","전라남도","663","229","892","20241108"
"6","7","강릉여행","여행","국내여행","강원도","572","240","812","20241108"
"7","8","전주여행","여행","국내여행","전라북도","552","177","729","20241108"
"8","9","대전여행","여행","국내여행","대전광역시","453","162","615","20241108"
"9","10","대구여행","여행","국내여행","대구광역시","420","140","560","20241108"
