SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1784","802","2586","20240528"
"1","2","경주여행","여행","국내여행","경상북도","1326","649","1975","20240528"
"2","3","여수여행","여행","국내여행","전라남도","1240","587","1827","20240528"
"3","4","제주여행","여행","국내여행","제주특별자치도","1090","434","1524","20240528"
"4","5","강릉여행","여행","국내여행","강원도","922","463","1385","20240528"
"5","6","군산여행","여행","국내여행","전라북도","871","355","1226","20240528"
"6","7","속초여행","여행","국내여행","강원도","749","374","1123","20240528"
"7","8","전주여행","여행","국내여행","전라북도","758","329","1087","20240528"
"8","9","대전여행","여행","국내여행","대전광역시","687","380","1067","20240528"
"9","10","대구여행","여행","국내여행","대구광역시","640","300","940","20240528"
