SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","2005","207","2212","20241229"
"1","2","제주여행","여행","국내여행","제주특별자치도","1545","152","1697","20241229"
"2","3","강릉여행","여행","국내여행","강원도","1113","160","1273","20241229"
"3","4","군산여행","여행","국내여행","전라북도","1009","101","1110","20241229"
"4","5","경주여행","여행","국내여행","경상북도","914","108","1022","20241229"
"5","6","여수여행","여행","국내여행","전라남도","856","88","944","20241229"
"6","7","속초여행","여행","국내여행","강원도","828","96","924","20241229"
"7","8","전주여행","여행","국내여행","전라북도","601","73","674","20241229"
"8","9","대전여행","여행","국내여행","대전광역시","579","77","656","20241229"
"9","10","목포여행","여행","국내여행","전라남도","563","66","629","20241229"
