SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","2531","345","2876","20240218"
"1","2","제주여행","여행","국내여행","제주특별자치도","1676","242","1918","20240218"
"2","3","여수여행","여행","국내여행","전라남도","1560","190","1750","20240218"
"3","4","경주여행","여행","국내여행","경상북도","1481","204","1685","20240218"
"4","5","군산여행","여행","국내여행","전라북도","1458","133","1591","20240218"
"5","6","강릉여행","여행","국내여행","강원도","1126","167","1293","20240218"
"6","7","전주여행","여행","국내여행","전라북도","1029","127","1156","20240218"
"7","8","대구여행","여행","국내여행","대구광역시","821","193","1014","20240218"
"8","9","속초여행","여행","국내여행","강원도","755","108","863","20240218"
"9","10","목포여행","여행","국내여행","전라남도","766","84","850","20240218"
