SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1303","536","1839","20241213"
"1","2","제주여행","여행","국내여행","제주특별자치도","768","489","1257","20241213"
"2","3","강릉여행","여행","국내여행","강원도","648","303","951","20241213"
"3","4","군산여행","여행","국내여행","전라북도","607","240","847","20241213"
"4","5","여수여행","여행","국내여행","전라남도","590","248","838","20241213"
"5","6","경주여행","여행","국내여행","경상북도","569","246","815","20241213"
"6","7","속초여행","여행","국내여행","강원도","597","207","804","20241213"
"7","8","전주여행","여행","국내여행","전라북도","451","156","607","20241213"
"8","9","목포여행","여행","국내여행","전라남도","381","125","506","20241213"
"9","10","대전여행","여행","국내여행","대전광역시","366","127","493","20241213"
