SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","2385","922","3307","20240226"
"1","2","여수여행","여행","국내여행","전라남도","1580","555","2135","20240226"
"2","3","경주여행","여행","국내여행","경상북도","1464","634","2098","20240226"
"3","4","제주여행","여행","국내여행","제주특별자치도","1428","526","1954","20240226"
"4","5","군산여행","여행","국내여행","전라북도","1445","436","1881","20240226"
"5","6","강릉여행","여행","국내여행","강원도","1072","473","1545","20240226"
"6","7","전주여행","여행","국내여행","전라북도","1058","413","1471","20240226"
"7","8","속초여행","여행","국내여행","강원도","944","392","1336","20240226"
"8","9","대구여행","여행","국내여행","대구광역시","769","378","1147","20240226"
"9","10","목포여행","여행","국내여행","전라남도","804","339","1143","20240226"
