SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1512","628","2140","20250110"
"1","2","제주여행","여행","국내여행","제주특별자치도","1122","290","1412","20250110"
"2","3","강릉여행","여행","국내여행","강원도","878","442","1320","20250110"
"3","4","군산여행","여행","국내여행","전라북도","769","237","1006","20250110"
"4","5","여수여행","여행","국내여행","전라남도","647","300","947","20250110"
"5","6","경주여행","여행","국내여행","경상북도","639","284","923","20250110"
"6","7","속초여행","여행","국내여행","강원도","601","236","837","20250110"
"7","8","대전여행","여행","국내여행","대전광역시","529","190","719","20250110"
"8","9","전주여행","여행","국내여행","전라북도","509","184","693","20250110"
"9","10","대구여행","여행","국내여행","대구광역시","496","153","649","20250110"
