SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1632","749","2381","20250219"
"1","2","경주여행","여행","국내여행","경상북도","969","519","1488","20250219"
"2","3","군산여행","여행","국내여행","전라북도","1028","385","1413","20250219"
"3","4","제주여행","여행","국내여행","제주특별자치도","965","366","1331","20250219"
"4","5","강릉여행","여행","국내여행","강원도","841","462","1303","20250219"
"5","6","여수여행","여행","국내여행","전라남도","879","394","1273","20250219"
"6","7","전주여행","여행","국내여행","전라북도","730","307","1037","20250219"
"7","8","속초여행","여행","국내여행","강원도","652","330","982","20250219"
"8","9","대전여행","여행","국내여행","대전광역시","653","266","919","20250219"
"9","10","대구여행","여행","국내여행","대구광역시","580","224","804","20250219"
