SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","993","164","1157","20250614"
"1","2","제주여행","여행","국내여행","제주특별자치도","743","402","1145","20250614"
"2","3","군산여행","여행","국내여행","전라북도","653","85","738","20250614"
"3","4","강릉여행","여행","국내여행","강원도","604","129","733","20250614"
"4","5","경주여행","여행","국내여행","경상북도","575","115","690","20250614"
"5","6","여수여행","여행","국내여행","전라남도","565","119","684","20250614"
"6","7","속초여행","여행","국내여행","강원도","542","102","644","20250614"
"7","8","대전여행","여행","국내여행","대전광역시","448","74","522","20250614"
"8","9","전주여행","여행","국내여행","전라북도","393","107","500","20250614"
"9","10","목포여행","여행","국내여행","전라남도","396","77","473","20250614"
