SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1630","758","2388","20250226"
"1","2","군산여행","여행","국내여행","전라북도","1208","436","1644","20250226"
"2","3","경주여행","여행","국내여행","경상북도","1013","477","1490","20250226"
"3","4","강릉여행","여행","국내여행","강원도","918","467","1385","20250226"
"4","5","여수여행","여행","국내여행","전라남도","841","376","1217","20250226"
"5","6","전주여행","여행","국내여행","전라북도","758","333","1091","20250226"
"6","7","대전여행","여행","국내여행","대전광역시","753","333","1086","20250226"
"7","8","제주여행","여행","국내여행","제주특별자치도","821","257","1078","20250226"
"8","9","속초여행","여행","국내여행","강원도","685","342","1027","20250226"
"9","10","대구여행","여행","국내여행","대구광역시","570","231","801","20250226"
