SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1018","571","1589","20250610"
"1","2","제주여행","여행","국내여행","제주특별자치도","782","475","1257","20250610"
"2","3","강릉여행","여행","국내여행","강원도","606","382","988","20250610"
"3","4","여수여행","여행","국내여행","전라남도","645","333","978","20250610"
"4","5","경주여행","여행","국내여행","경상북도","593","344","937","20250610"
"5","6","군산여행","여행","국내여행","전라북도","546","208","754","20250610"
"6","7","속초여행","여행","국내여행","강원도","436","238","674","20250610"
"7","8","대전여행","여행","국내여행","대전광역시","435","159","594","20250610"
"8","9","전주여행","여행","국내여행","전라북도","369","177","546","20250610"
"9","10","목포여행","여행","국내여행","전라남도","350","159","509","20250610"
