SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","2067","330","2397","20240803"
"1","2","여수여행","여행","국내여행","전라남도","1734","192","1926","20240803"
"2","3","군산여행","여행","국내여행","전라북도","1370","99","1469","20240803"
"3","4","속초여행","여행","국내여행","강원도","1131","139","1270","20240803"
"4","5","경주여행","여행","국내여행","경상북도","1036","164","1200","20240803"
"5","6","강릉여행","여행","국내여행","강원도","990","173","1163","20240803"
"6","7","제주여행","여행","국내여행","제주특별자치도","975","151","1126","20240803"
"7","8","남해여행","여행","국내여행","경상남도","842","127","969","20240803"
"8","9","목포여행","여행","국내여행","전라남도","806","69","875","20240803"
"9","10","통영여행","여행","국내여행","경상남도","701","81","782","20240803"
