SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1111","174","1285","20250510"
"1","2","군산여행","여행","국내여행","전라북도","825","85","910","20250510"
"2","3","경주여행","여행","국내여행","경상북도","740","130","870","20250510"
"3","4","제주여행","여행","국내여행","제주특별자치도","760","99","859","20250510"
"4","5","강릉여행","여행","국내여행","강원도","613","124","737","20250510"
"5","6","여수여행","여행","국내여행","전라남도","539","96","635","20250510"
"6","7","전주여행","여행","국내여행","전라북도","498","95","593","20250510"
"7","8","속초여행","여행","국내여행","강원도","451","86","537","20250510"
"8","9","목포여행","여행","국내여행","전라남도","449","47","496","20250510"
"9","10","대구여행","여행","국내여행","대구광역시","443","45","488","20250510"
