SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1794","654","2448","20240202"
"1","2","제주여행","여행","국내여행","제주특별자치도","1210","423","1633","20240202"
"2","3","여수여행","여행","국내여행","전라남도","1105","342","1447","20240202"
"3","4","경주여행","여행","국내여행","경상북도","963","366","1329","20240202"
"4","5","강릉여행","여행","국내여행","강원도","848","320","1168","20240202"
"5","6","군산여행","여행","국내여행","전라북도","886","245","1131","20240202"
"6","7","속초여행","여행","국내여행","강원도","552","310","862","20240202"
"7","8","대구여행","여행","국내여행","대구광역시","620","222","842","20240202"
"8","9","전주여행","여행","국내여행","전라북도","654","155","809","20240202"
"9","10","목포여행","여행","국내여행","전라남도","542","146","688","20240202"
