SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1724","241","1965","20241222"
"1","2","제주여행","여행","국내여행","제주특별자치도","1073","169","1242","20241222"
"2","3","경주여행","여행","국내여행","경상북도","986","128","1114","20241222"
"3","4","강릉여행","여행","국내여행","강원도","863","156","1019","20241222"
"4","5","여수여행","여행","국내여행","전라남도","848","125","973","20241222"
"5","6","군산여행","여행","국내여행","전라북도","854","110","964","20241222"
"6","7","속초여행","여행","국내여행","강원도","727","124","851","20241222"
"7","8","전주여행","여행","국내여행","전라북도","562","82","644","20241222"
"8","9","대전여행","여행","국내여행","대전광역시","574","58","632","20241222"
"9","10","대구여행","여행","국내여행","대구광역시","492","69","561","20241222"
