SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1304","684","1988","20250604"
"1","2","여수여행","여행","국내여행","전라남도","869","483","1352","20250604"
"2","3","군산여행","여행","국내여행","전라북도","926","371","1297","20250604"
"3","4","경주여행","여행","국내여행","경상북도","792","450","1242","20250604"
"4","5","제주여행","여행","국내여행","제주특별자치도","660","547","1207","20250604"
"5","6","강릉여행","여행","국내여행","강원도","782","405","1187","20250604"
"6","7","속초여행","여행","국내여행","강원도","635","380","1015","20250604"
"7","8","전주여행","여행","국내여행","전라북도","638","310","948","20250604"
"8","9","대전여행","여행","국내여행","대전광역시","570","278","848","20250604"
"9","10","목포여행","여행","국내여행","전라남도","524","258","782","20250604"
