SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1317","535","1852","20240821"
"1","2","제주여행","여행","국내여행","제주특별자치도","990","390","1380","20240821"
"2","3","여수여행","여행","국내여행","전라남도","868","405","1273","20240821"
"3","4","경주여행","여행","국내여행","경상북도","861","348","1209","20240821"
"4","5","속초여행","여행","국내여행","강원도","721","316","1037","20240821"
"5","6","강릉여행","여행","국내여행","강원도","687","349","1036","20240821"
"6","7","군산여행","여행","국내여행","전라북도","688","228","916","20240821"
"7","8","전주여행","여행","국내여행","전라북도","498","201","699","20240821"
"8","9","남해여행","여행","국내여행","경상남도","448","242","690","20240821"
"9","10","대전여행","여행","국내여행","대전광역시","435","208","643","20240821"
