SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1651","721","2372","20240408"
"1","2","여수여행","여행","국내여행","전라남도","1317","558","1875","20240408"
"2","3","경주여행","여행","국내여행","경상북도","1175","591","1766","20240408"
"3","4","제주여행","여행","국내여행","제주특별자치도","1140","442","1582","20240408"
"4","5","군산여행","여행","국내여행","전라북도","870","287","1157","20240408"
"5","6","전주여행","여행","국내여행","전라북도","720","356","1076","20240408"
"6","7","강릉여행","여행","국내여행","강원도","659","347","1006","20240408"
"7","8","목포여행","여행","국내여행","전라남도","570","269","839","20240408"
"8","9","속초여행","여행","국내여행","강원도","535","297","832","20240408"
"9","10","대구여행","여행","국내여행","대구광역시","528","231","759","20240408"
