SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1243","238","1481","20250615"
"1","2","제주여행","여행","국내여행","제주특별자치도","833","416","1249","20250615"
"2","3","군산여행","여행","국내여행","전라북도","776","85","861","20250615"
"3","4","강릉여행","여행","국내여행","강원도","682","141","823","20250615"
"4","5","경주여행","여행","국내여행","경상북도","695","121","816","20250615"
"5","6","여수여행","여행","국내여행","전라남도","687","99","786","20250615"
"6","7","속초여행","여행","국내여행","강원도","559","96","655","20250615"
"7","8","대전여행","여행","국내여행","대전광역시","488","84","572","20250615"
"8","9","목포여행","여행","국내여행","전라남도","492","76","568","20250615"
"9","10","전주여행","여행","국내여행","전라북도","483","76","559","20250615"
