SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1210","656","1866","20250624"
"1","2","제주여행","여행","국내여행","제주특별자치도","810","620","1430","20250624"
"2","3","여수여행","여행","국내여행","전라남도","713","432","1145","20250624"
"3","4","경주여행","여행","국내여행","경상북도","666","355","1021","20250624"
"4","5","강릉여행","여행","국내여행","강원도","615","326","941","20250624"
"5","6","군산여행","여행","국내여행","전라북도","628","229","857","20250624"
"6","7","속초여행","여행","국내여행","강원도","488","272","760","20250624"
"7","8","목포여행","여행","국내여행","전라남도","367","254","621","20250624"
"8","9","전주여행","여행","국내여행","전라북도","432","185","617","20250624"
"9","10","대전여행","여행","국내여행","대전광역시","411","186","597","20250624"
