SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1406","689","2095","20250630"
"1","2","제주여행","여행","국내여행","제주특별자치도","825","752","1577","20250630"
"2","3","여수여행","여행","국내여행","전라남도","791","450","1241","20250630"
"3","4","강릉여행","여행","국내여행","강원도","768","404","1172","20250630"
"4","5","속초여행","여행","국내여행","강원도","674","375","1049","20250630"
"5","6","경주여행","여행","국내여행","경상북도","630","385","1015","20250630"
"6","7","군산여행","여행","국내여행","전라북도","685","251","936","20250630"
"7","8","남해여행","여행","국내여행","경상남도","426","324","750","20250630"
"8","9","목포여행","여행","국내여행","전라남도","461","246","707","20250630"
"9","10","대전여행","여행","국내여행","대전광역시","475","212","687","20250630"
