SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1154","169","1323","20241102"
"1","2","경주여행","여행","국내여행","경상북도","1022","139","1161","20241102"
"2","3","군산여행","여행","국내여행","전라북도","869","90","959","20241102"
"3","4","제주여행","여행","국내여행","제주특별자치도","759","179","938","20241102"
"4","5","여수여행","여행","국내여행","전라남도","740","94","834","20241102"
"5","6","전주여행","여행","국내여행","전라북도","667","88","755","20241102"
"6","7","강릉여행","여행","국내여행","강원도","607","105","712","20241102"
"7","8","속초여행","여행","국내여행","강원도","542","72","614","20241102"
"8","9","대전여행","여행","국내여행","대전광역시","504","63","567","20241102"
"9","10","대구여행","여행","국내여행","대구광역시","482","58","540","20241102"
