SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","2778","785","3563","20240216"
"1","2","여수여행","여행","국내여행","전라남도","1256","455","1711","20240216"
"2","3","제주여행","여행","국내여행","제주특별자치도","1297","411","1708","20240216"
"3","4","경주여행","여행","국내여행","경상북도","1146","509","1655","20240216"
"4","5","군산여행","여행","국내여행","전라북도","1205","314","1519","20240216"
"5","6","강릉여행","여행","국내여행","강원도","934","358","1292","20240216"
"6","7","전주여행","여행","국내여행","전라북도","789","270","1059","20240216"
"7","8","속초여행","여행","국내여행","강원도","663","276","939","20240216"
"8","9","대구여행","여행","국내여행","대구광역시","611","270","881","20240216"
"9","10","목포여행","여행","국내여행","전라남도","604","187","791","20240216"
