SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1567","664","2231","20240516"
"1","2","여수여행","여행","국내여행","전라남도","1209","483","1692","20240516"
"2","3","경주여행","여행","국내여행","경상북도","1059","496","1555","20240516"
"3","4","제주여행","여행","국내여행","제주특별자치도","1011","451","1462","20240516"
"4","5","강릉여행","여행","국내여행","강원도","768","397","1165","20240516"
"5","6","군산여행","여행","국내여행","전라북도","810","319","1129","20240516"
"6","7","전주여행","여행","국내여행","전라북도","633","286","919","20240516"
"7","8","속초여행","여행","국내여행","강원도","607","306","913","20240516"
"8","9","대전여행","여행","국내여행","대전광역시","556","212","768","20240516"
"9","10","대구여행","여행","국내여행","대구광역시","561","197","758","20240516"
