SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1980","732","2712","20240122"
"1","2","제주여행","여행","국내여행","제주특별자치도","1797","566","2363","20240122"
"2","3","여수여행","여행","국내여행","전라남도","1311","346","1657","20240122"
"3","4","경주여행","여행","국내여행","경상북도","1007","455","1462","20240122"
"4","5","강릉여행","여행","국내여행","강원도","952","382","1334","20240122"
"5","6","군산여행","여행","국내여행","전라북도","869","246","1115","20240122"
"6","7","전주여행","여행","국내여행","전라북도","708","239","947","20240122"
"7","8","대전여행","여행","국내여행","대전광역시","572","195","767","20240122"
"8","9","대구여행","여행","국내여행","대구광역시","543","184","727","20240122"
"9","10","속초여행","여행","국내여행","강원도","526","198","724","20240122"
