SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","2399","277","2676","20240217"
"1","2","제주여행","여행","국내여행","제주특별자치도","1439","235","1674","20240217"
"2","3","여수여행","여행","국내여행","전라남도","1479","150","1629","20240217"
"3","4","군산여행","여행","국내여행","전라북도","1498","125","1623","20240217"
"4","5","경주여행","여행","국내여행","경상북도","1372","180","1552","20240217"
"5","6","강릉여행","여행","국내여행","강원도","999","145","1144","20240217"
"6","7","전주여행","여행","국내여행","전라북도","837","113","950","20240217"
"7","8","목포여행","여행","국내여행","전라남도","823","103","926","20240217"
"8","9","대구여행","여행","국내여행","대구광역시","726","165","891","20240217"
"9","10","속초여행","여행","국내여행","강원도","753","111","864","20240217"
