SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1894","743","2637","20240130"
"1","2","제주여행","여행","국내여행","제주특별자치도","1355","523","1878","20240130"
"2","3","여수여행","여행","국내여행","전라남도","1101","379","1480","20240130"
"3","4","강릉여행","여행","국내여행","강원도","983","368","1351","20240130"
"4","5","경주여행","여행","국내여행","경상북도","980","355","1335","20240130"
"5","6","군산여행","여행","국내여행","전라북도","907","285","1192","20240130"
"6","7","전주여행","여행","국내여행","전라북도","668","243","911","20240130"
"7","8","속초여행","여행","국내여행","강원도","598","214","812","20240130"
"8","9","대구여행","여행","국내여행","대구광역시","568","219","787","20240130"
"9","10","대전여행","여행","국내여행","대전광역시","560","202","762","20240130"
