SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1825","841","2666","20240709"
"1","2","여수여행","여행","국내여행","전라남도","1307","620","1927","20240709"
"2","3","제주여행","여행","국내여행","제주특별자치도","1052","410","1462","20240709"
"3","4","강릉여행","여행","국내여행","강원도","895","456","1351","20240709"
"4","5","경주여행","여행","국내여행","경상북도","855","494","1349","20240709"
"5","6","속초여행","여행","국내여행","강원도","809","457","1266","20240709"
"6","7","군산여행","여행","국내여행","전라북도","745","269","1014","20240709"
"7","8","대전여행","여행","국내여행","대전광역시","670","213","883","20240709"
"8","9","목포여행","여행","국내여행","전라남도","497","280","777","20240709"
"9","10","전주여행","여행","국내여행","전라북도","561","161","722","20240709"
