SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1525","650","2175","20241118"
"1","2","경주여행","여행","국내여행","경상북도","866","398","1264","20241118"
"2","3","제주여행","여행","국내여행","제주특별자치도","894","355","1249","20241118"
"3","4","여수여행","여행","국내여행","전라남도","673","309","982","20241118"
"4","5","강릉여행","여행","국내여행","강원도","600","356","956","20241118"
"5","6","군산여행","여행","국내여행","전라북도","687","209","896","20241118"
"6","7","속초여행","여행","국내여행","강원도","560","237","797","20241118"
"7","8","전주여행","여행","국내여행","전라북도","556","208","764","20241118"
"8","9","대구여행","여행","국내여행","대구광역시","435","183","618","20241118"
"9","10","대전여행","여행","국내여행","대전광역시","412","183","595","20241118"
