SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1022","584","1606","20250619"
"1","2","제주여행","여행","국내여행","제주특별자치도","713","609","1322","20250619"
"2","3","강릉여행","여행","국내여행","강원도","607","415","1022","20250619"
"3","4","여수여행","여행","국내여행","전라남도","555","378","933","20250619"
"4","5","군산여행","여행","국내여행","전라북도","678","240","918","20250619"
"5","6","경주여행","여행","국내여행","경상북도","560","308","868","20250619"
"6","7","속초여행","여행","국내여행","강원도","464","302","766","20250619"
"7","8","대전여행","여행","국내여행","대전광역시","393","234","627","20250619"
"8","9","전주여행","여행","국내여행","전라북도","366","222","588","20250619"
"9","10","목포여행","여행","국내여행","전라남도","393","193","586","20250619"
