SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1342","524","1866","20240308"
"1","2","제주여행","여행","국내여행","제주특별자치도","1122","416","1538","20240308"
"2","3","여수여행","여행","국내여행","전라남도","885","303","1188","20240308"
"3","4","경주여행","여행","국내여행","경상북도","712","398","1110","20240308"
"4","5","군산여행","여행","국내여행","전라북도","805","204","1009","20240308"
"5","6","강릉여행","여행","국내여행","강원도","600","255","855","20240308"
"6","7","전주여행","여행","국내여행","전라북도","541","197","738","20240308"
"7","8","속초여행","여행","국내여행","강원도","479","194","673","20240308"
"8","9","대구여행","여행","국내여행","대구광역시","444","150","594","20240308"
"9","10","대전여행","여행","국내여행","대전광역시","426","114","540","20240308"
