SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","2043","732","2775","20240222"
"1","2","제주여행","여행","국내여행","제주특별자치도","1677","593","2270","20240222"
"2","3","여수여행","여행","국내여행","전라남도","1255","473","1728","20240222"
"3","4","경주여행","여행","국내여행","경상북도","1188","462","1650","20240222"
"4","5","군산여행","여행","국내여행","전라북도","1046","322","1368","20240222"
"5","6","강릉여행","여행","국내여행","강원도","918","385","1303","20240222"
"6","7","전주여행","여행","국내여행","전라북도","803","326","1129","20240222"
"7","8","속초여행","여행","국내여행","강원도","675","273","948","20240222"
"8","9","목포여행","여행","국내여행","전라남도","563","242","805","20240222"
"9","10","대구여행","여행","국내여행","대구광역시","533","267","800","20240222"
