SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1771","288","2059","20250105"
"1","2","제주여행","여행","국내여행","제주특별자치도","1134","148","1282","20250105"
"2","3","강릉여행","여행","국내여행","강원도","1023","166","1189","20250105"
"3","4","경주여행","여행","국내여행","경상북도","921","157","1078","20250105"
"4","5","군산여행","여행","국내여행","전라북도","824","102","926","20250105"
"5","6","여수여행","여행","국내여행","전라남도","782","137","919","20250105"
"6","7","속초여행","여행","국내여행","강원도","645","111","756","20250105"
"7","8","전주여행","여행","국내여행","전라북도","618","92","710","20250105"
"8","9","대전여행","여행","국내여행","대전광역시","530","80","610","20250105"
"9","10","대구여행","여행","국내여행","대구광역시","510","76","586","20250105"
