SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1684","586","2270","20250117"
"1","2","강릉여행","여행","국내여행","강원도","917","368","1285","20250117"
"2","3","제주여행","여행","국내여행","제주특별자치도","848","302","1150","20250117"
"3","4","군산여행","여행","국내여행","전라북도","825","306","1131","20250117"
"4","5","경주여행","여행","국내여행","경상북도","795","310","1105","20250117"
"5","6","여수여행","여행","국내여행","전라남도","695","268","963","20250117"
"6","7","속초여행","여행","국내여행","강원도","606","277","883","20250117"
"7","8","전주여행","여행","국내여행","전라북도","530","256","786","20250117"
"8","9","대전여행","여행","국내여행","대전광역시","541","215","756","20250117"
"9","10","대구여행","여행","국내여행","대구광역시","478","179","657","20250117"
