SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1781","770","2551","20240205"
"1","2","제주여행","여행","국내여행","제주특별자치도","1399","515","1914","20240205"
"2","3","여수여행","여행","국내여행","전라남도","1056","441","1497","20240205"
"3","4","경주여행","여행","국내여행","경상북도","962","413","1375","20240205"
"4","5","강릉여행","여행","국내여행","강원도","903","429","1332","20240205"
"5","6","군산여행","여행","국내여행","전라북도","817","219","1036","20240205"
"6","7","속초여행","여행","국내여행","강원도","614","293","907","20240205"
"7","8","전주여행","여행","국내여행","전라북도","672","215","887","20240205"
"8","9","대구여행","여행","국내여행","대구광역시","547","246","793","20240205"
"9","10","목포여행","여행","국내여행","전라남도","453","208","661","20240205"
