SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1066","466","1532","20241023"
"1","2","경주여행","여행","국내여행","경상북도","946","473","1419","20241023"
"2","3","제주여행","여행","국내여행","제주특별자치도","761","334","1095","20241023"
"3","4","여수여행","여행","국내여행","전라남도","656","276","932","20241023"
"4","5","군산여행","여행","국내여행","전라북도","681","241","922","20241023"
"5","6","전주여행","여행","국내여행","전라북도","542","264","806","20241023"
"6","7","속초여행","여행","국내여행","강원도","475","250","725","20241023"
"7","8","강릉여행","여행","국내여행","강원도","493","223","716","20241023"
"8","9","통영여행","여행","국내여행","경상남도","466","151","617","20241023"
"9","10","대전여행","여행","국내여행","대전광역시","456","151","607","20241023"
