SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1487","887","2374","20250707"
"1","2","제주여행","여행","국내여행","제주특별자치도","954","708","1662","20250707"
"2","3","강릉여행","여행","국내여행","강원도","885","569","1454","20250707"
"3","4","여수여행","여행","국내여행","전라남도","775","518","1293","20250707"
"4","5","경주여행","여행","국내여행","경상북도","700","429","1129","20250707"
"5","6","속초여행","여행","국내여행","강원도","671","446","1117","20250707"
"6","7","군산여행","여행","국내여행","전라북도","651","278","929","20250707"
"7","8","남해여행","여행","국내여행","경상남도","508","395","903","20250707"
"8","9","목포여행","여행","국내여행","전라남도","497","295","792","20250707"
"9","10","대전여행","여행","국내여행","대전광역시","467","245","712","20250707"
