SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1203","174","1377","20241026"
"1","2","경주여행","여행","국내여행","경상북도","994","147","1141","20241026"
"2","3","군산여행","여행","국내여행","전라북도","1016","90","1106","20241026"
"3","4","제주여행","여행","국내여행","제주특별자치도","743","151","894","20241026"
"4","5","여수여행","여행","국내여행","전라남도","715","121","836","20241026"
"5","6","강릉여행","여행","국내여행","강원도","598","96","694","20241026"
"6","7","전주여행","여행","국내여행","전라북도","629","64","693","20241026"
"7","8","속초여행","여행","국내여행","강원도","546","75","621","20241026"
"8","9","대전여행","여행","국내여행","대전광역시","533","51","584","20241026"
"9","10","대구여행","여행","국내여행","대구광역시","508","65","573","20241026"
