SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1900","671","2571","20250228"
"1","2","군산여행","여행","국내여행","전라북도","1450","437","1887","20250228"
"2","3","경주여행","여행","국내여행","경상북도","1057","411","1468","20250228"
"3","4","강릉여행","여행","국내여행","강원도","916","358","1274","20250228"
"4","5","여수여행","여행","국내여행","전라남도","858","322","1180","20250228"
"5","6","속초여행","여행","국내여행","강원도","787","311","1098","20250228"
"6","7","제주여행","여행","국내여행","제주특별자치도","815","266","1081","20250228"
"7","8","전주여행","여행","국내여행","전라북도","813","258","1071","20250228"
"8","9","대전여행","여행","국내여행","대전광역시","758","278","1036","20250228"
"9","10","대구여행","여행","국내여행","대구광역시","691","253","944","20250228"
