SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1365","235","1600","20250603"
"1","2","군산여행","여행","국내여행","전라북도","1155","128","1283","20250603"
"2","3","여수여행","여행","국내여행","전라남도","965","183","1148","20250603"
"3","4","제주여행","여행","국내여행","제주특별자치도","838","299","1137","20250603"
"4","5","강릉여행","여행","국내여행","강원도","861","173","1034","20250603"
"5","6","경주여행","여행","국내여행","경상북도","849","184","1033","20250603"
"6","7","전주여행","여행","국내여행","전라북도","659","123","782","20250603"
"7","8","속초여행","여행","국내여행","강원도","633","147","780","20250603"
"8","9","대전여행","여행","국내여행","대전광역시","650","106","756","20250603"
"9","10","목포여행","여행","국내여행","전라남도","552","90","642","20250603"
