SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1720","575","2295","20241227"
"1","2","강릉여행","여행","국내여행","강원도","935","373","1308","20241227"
"2","3","제주여행","여행","국내여행","제주특별자치도","888","344","1232","20241227"
"3","4","속초여행","여행","국내여행","강원도","786","253","1039","20241227"
"4","5","경주여행","여행","국내여행","경상북도","744","292","1036","20241227"
"5","6","군산여행","여행","국내여행","전라북도","803","232","1035","20241227"
"6","7","여수여행","여행","국내여행","전라남도","739","254","993","20241227"
"7","8","전주여행","여행","국내여행","전라북도","585","210","795","20241227"
"8","9","대전여행","여행","국내여행","대전광역시","500","176","676","20241227"
"9","10","목포여행","여행","국내여행","전라남도","474","172","646","20241227"
