SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1027","551","1578","20250319"
"1","2","제주여행","여행","국내여행","제주특별자치도","972","375","1347","20250319"
"2","3","경주여행","여행","국내여행","경상북도","759","437","1196","20250319"
"3","4","군산여행","여행","국내여행","전라북도","838","293","1131","20250319"
"4","5","강릉여행","여행","국내여행","강원도","583","325","908","20250319"
"5","6","여수여행","여행","국내여행","전라남도","576","319","895","20250319"
"6","7","전주여행","여행","국내여행","전라북도","514","246","760","20250319"
"7","8","속초여행","여행","국내여행","강원도","440","186","626","20250319"
"8","9","대구여행","여행","국내여행","대구광역시","401","215","616","20250319"
"9","10","대전여행","여행","국내여행","대전광역시","391","224","615","20250319"
