SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1631","643","2274","20240531"
"1","2","여수여행","여행","국내여행","전라남도","1156","408","1564","20240531"
"2","3","경주여행","여행","국내여행","경상북도","1055","493","1548","20240531"
"3","4","제주여행","여행","국내여행","제주특별자치도","953","297","1250","20240531"
"4","5","군산여행","여행","국내여행","전라북도","956","271","1227","20240531"
"5","6","강릉여행","여행","국내여행","강원도","726","367","1093","20240531"
"6","7","속초여행","여행","국내여행","강원도","745","327","1072","20240531"
"7","8","전주여행","여행","국내여행","전라북도","703","249","952","20240531"
"8","9","대구여행","여행","국내여행","대구광역시","578","219","797","20240531"
"9","10","대전여행","여행","국내여행","대전광역시","586","201","787","20240531"
