SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1780","650","2430","20241226"
"1","2","제주여행","여행","국내여행","제주특별자치도","963","364","1327","20241226"
"2","3","강릉여행","여행","국내여행","강원도","904","391","1295","20241226"
"3","4","여수여행","여행","국내여행","전라남도","796","340","1136","20241226"
"4","5","경주여행","여행","국내여행","경상북도","818","290","1108","20241226"
"5","6","군산여행","여행","국내여행","전라북도","865","235","1100","20241226"
"6","7","속초여행","여행","국내여행","강원도","729","336","1065","20241226"
"7","8","전주여행","여행","국내여행","전라북도","535","191","726","20241226"
"8","9","대전여행","여행","국내여행","대전광역시","515","174","689","20241226"
"9","10","목포여행","여행","국내여행","전라남도","493","196","689","20241226"
