SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1207","233","1440","20250316"
"1","2","제주여행","여행","국내여행","제주특별자치도","1037","157","1194","20250316"
"2","3","경주여행","여행","국내여행","경상북도","896","144","1040","20250316"
"3","4","군산여행","여행","국내여행","전라북도","913","92","1005","20250316"
"4","5","여수여행","여행","국내여행","전라남도","712","117","829","20250316"
"5","6","강릉여행","여행","국내여행","강원도","638","125","763","20250316"
"6","7","전주여행","여행","국내여행","전라북도","598","78","676","20250316"
"7","8","대구여행","여행","국내여행","대구광역시","510","86","596","20250316"
"8","9","속초여행","여행","국내여행","강원도","495","83","578","20250316"
"9","10","대전여행","여행","국내여행","대전광역시","465","79","544","20250316"
