SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1537","183","1720","20240825"
"1","2","여수여행","여행","국내여행","전라남도","1070","149","1219","20240825"
"2","3","경주여행","여행","국내여행","경상북도","1017","149","1166","20240825"
"3","4","제주여행","여행","국내여행","제주특별자치도","991","146","1137","20240825"
"4","5","강릉여행","여행","국내여행","강원도","889","161","1050","20240825"
"5","6","군산여행","여행","국내여행","전라북도","933","101","1034","20240825"
"6","7","속초여행","여행","국내여행","강원도","771","133","904","20240825"
"7","8","전주여행","여행","국내여행","전라북도","612","94","706","20240825"
"8","9","남해여행","여행","국내여행","경상남도","573","89","662","20240825"
"9","10","목포여행","여행","국내여행","전라남도","582","65","647","20240825"
