SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","경주여행","여행","국내여행","경상북도","1211","771","1982","20240924"
"1","2","부산여행","여행","국내여행","부산광역시","1294","643","1937","20240924"
"2","3","제주여행","여행","국내여행","제주특별자치도","923","379","1302","20240924"
"3","4","군산여행","여행","국내여행","전라북도","957","327","1284","20240924"
"4","5","여수여행","여행","국내여행","전라남도","796","377","1173","20240924"
"5","6","전주여행","여행","국내여행","전라북도","714","333","1047","20240924"
"6","7","강릉여행","여행","국내여행","강원도","646","393","1039","20240924"
"7","8","속초여행","여행","국내여행","강원도","562","312","874","20240924"
"8","9","목포여행","여행","국내여행","전라남도","511","220","731","20240924"
"9","10","대전여행","여행","국내여행","대전광역시","506","225","731","20240924"
