SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","2037","284","2321","20240526"
"1","2","경주여행","여행","국내여행","경상북도","1392","171","1563","20240526"
"2","3","여수여행","여행","국내여행","전라남도","1404","149","1553","20240526"
"3","4","제주여행","여행","국내여행","제주특별자치도","1191","148","1339","20240526"
"4","5","군산여행","여행","국내여행","전라북도","978","110","1088","20240526"
"5","6","강릉여행","여행","국내여행","강원도","873","158","1031","20240526"
"6","7","속초여행","여행","국내여행","강원도","879","101","980","20240526"
"7","8","전주여행","여행","국내여행","전라북도","760","126","886","20240526"
"8","9","대전여행","여행","국내여행","대전광역시","641","98","739","20240526"
"9","10","목포여행","여행","국내여행","전라남도","574","100","674","20240526"
